Modelo,Recall+,Prec+,F1+,F1-mac,AUC,AvgP,MCC,Acc
Árbol de Decisión,0.7567567567567568,0.717948717948718,0.7368421052631579,0.7791353383458646,0.8039355144618302,0.7462349507103725,0.5590233088838791,0.7872340425531915
Random Forest,0.7837837837837838,0.5,0.6105263157894737,0.6063384267119412,0.7785680417259365,0.8044886522331143,0.2763913559707314,0.6063829787234043
XGBoost,0.8108108108108109,0.7317073170731707,0.7692307692307693,0.8027972027972028,0.8212422949265055,0.8254178674684058,0.6086621036635051,0.8085106382978723
