Modelo,Recall+,Prec+,F1+,F1-mac,AUC,AvgP,MCC,Acc
Árbol de Decisión,0.9428571428571428,0.7021276595744681,0.8048780487804879,0.8191056910569106,0.8793650793650793,0.7840787510469316,0.668895135226228,0.8202247191011236
Random Forest,0.5428571428571428,0.7916666666666666,0.6440677966101694,0.7337986041874376,0.8359788359788359,0.7843255738988447,0.49560577558352914,0.7640449438202247
XGBoost,0.7142857142857143,0.8064516129032258,0.7575757575757576,0.8073593073593073,0.8698412698412699,0.8225511477458767,0.6184137048573725,0.8202247191011236
