CODIGO_INST,COHORTE,SEXO,NIVEL_ED_PADRE,NIVEL_ED_MADRE,ANOS_REPITIO,ESTRATO_ACTUAL,INGRESOS,TIPO_PLANTEL,ZONA_LUGAR_RESIDENCIA,SISBEN,URBANA_SISBEN,RURAL_SISBEN,PMATN,PINGN,PCRIN,PCIUN,PNATN,VIVE_CON,SITUACION_PADRES,sexo,nivel_edu_padre,nivel_edu_madre,nivel_edu_max_padres,repitio_escolar,estrato,icfes_mat,icfes_ing,icfes_lec,icfes_soc,icfes_nat,icfes_total,tipo_plantel,zona_rural,log_ingresos,sisben_nivel,vive_con,situacion_padres,cohorte_encoded,prom_sem1,PROMEDIO_CARRERA,graduado,rendimiento_bajo
160004048,2017-2,M,5.0,8.0,N,3,8400000,G,U,S,1,0,64.0,50.0,57.0,59.0,59.0,2.0,1.0,1,4,6,6,0,3,64.0,50.0,57.0,59.0,59.0,289.0,0,0,15.943742382861155,1,2,1,0,3.5,2.8,0,1
160004049,2017-2,M,,4.0,N,1,8273460,G,U,S,2,0,60.0,51.0,58.0,61.0,60.0,2.0,1.0,1,0,3,3,0,1,60.0,51.0,58.0,61.0,60.0,290.0,0,0,15.928563480057516,2,2,1,0,4.1,3.7,1,0
160004050,2017-2,M,8.0,8.0,S,4,14400000,G,U,S,2,0,60.0,61.0,59.0,59.0,55.0,1.0,1.0,1,6,6,6,1,4,60.0,61.0,59.0,59.0,55.0,294.0,0,0,16.48273883399067,2,1,1,0,3.8,3.4,1,0
160004052,2017-2,F,8.0,12.0,N,3,17699200,G,U,S,1,0,64.0,61.0,52.0,49.0,61.0,1.0,2.0,0,6,10,10,0,3,64.0,61.0,52.0,49.0,61.0,287.0,0,0,16.689030055282224,1,1,2,0,3.7,3.7,0,0
160004100,2018-1,M,12.0,12.0,N,2,19881057,G,U,N,0,0,63.0,67.0,63.0,66.0,67.0,4.0,2.0,1,10,10,10,0,2,63.0,67.0,63.0,66.0,67.0,326.0,0,0,16.8052779770925,0,4,2,1,2.6,2.6,0,1
160004101,2018-1,M,1.0,12.0,S,1,29170375,G,U,S,2,0,68.0,64.0,63.0,64.0,66.0,2.0,1.0,1,0,10,10,1,1,68.0,64.0,63.0,64.0,66.0,325.0,0,0,17.188664231716263,2,2,1,1,2.2,2.2,0,1
160004102,2018-1,M,12.0,5.0,S,2,5767272,G,R,N,0,0,61.0,68.0,63.0,67.0,63.0,5.0,1.0,1,10,4,10,1,2,61.0,68.0,63.0,67.0,63.0,322.0,0,1,15.567709909781271,0,5,1,1,0.8,0.8,0,1
160004103,2018-1,M,5.0,12.0,N,1,8400000,G,R,S,0,1,69.0,65.0,62.0,59.0,64.0,1.0,2.0,1,4,10,10,0,1,69.0,65.0,62.0,59.0,64.0,319.0,0,1,15.943742382861155,1,1,2,1,3.4,3.9,1,0
160004104,2018-1,M,,12.0,N,1,9600000,G,U,S,1,0,67.0,63.0,65.0,68.0,61.0,1.0,1.0,1,0,10,10,0,1,67.0,63.0,65.0,68.0,61.0,324.0,0,0,16.077273760604726,1,1,1,1,3.6,3.7,1,0
160004105,2018-1,M,,4.0,N,2,4800000,G,R,S,1,0,71.0,58.0,69.0,66.0,68.0,1.0,1.0,1,0,3,3,0,2,71.0,58.0,69.0,66.0,68.0,332.0,0,1,15.38412668421143,1,1,1,1,2.4,2.4,0,1
160004106,2018-1,F,3.0,5.0,N,1,8280000,G,U,S,2,0,68.0,65.0,67.0,70.0,68.0,2.0,1.0,0,2,4,4,0,1,68.0,65.0,67.0,70.0,68.0,338.0,0,0,15.929353647134382,2,2,1,1,4.6,4.0,1,0
160004107,2018-1,M,,3.0,N,1,8280000,G,U,S,2,0,64.0,59.0,72.0,63.0,62.0,2.0,1.0,1,0,2,2,0,1,64.0,59.0,72.0,63.0,62.0,320.0,0,0,15.929353647134382,2,2,1,1,3.2,3.7,1,0
160004108,2018-1,M,12.0,12.0,N,1,9600000,G,R,N,0,0,72.0,72.0,64.0,70.0,66.0,1.0,2.0,1,10,10,10,0,1,72.0,72.0,64.0,70.0,66.0,344.0,0,1,16.077273760604726,0,1,2,1,4.0,3.8,1,0
160004109,2018-1,F,2.0,4.0,N,1,8280000,G,R,S,0,1,77.0,51.0,66.0,63.0,67.0,3.0,2.0,0,1,3,3,0,1,77.0,51.0,66.0,63.0,67.0,324.0,0,1,15.929353647134382,1,3,2,1,3.7,3.7,1,0
160004110,2018-1,M,2.0,5.0,N,1,8273460,G,R,S,0,1,62.0,55.0,63.0,60.0,71.0,1.0,1.0,1,1,4,4,0,1,62.0,55.0,63.0,60.0,71.0,311.0,0,1,15.928563480057516,1,1,1,1,2.5,2.9,0,1
160004111,2018-1,F,5.0,8.0,N,2,8852000,G,R,S,0,3,71.0,70.0,62.0,56.0,54.0,3.0,2.0,0,4,6,6,0,2,71.0,70.0,62.0,56.0,54.0,313.0,0,1,15.996154093121891,3,3,2,1,4.1,3.7,1,0
160004112,2018-1,F,4.0,5.0,S,3,6623558,P,U,N,0,0,69.0,56.0,61.0,66.0,68.0,1.0,1.0,0,3,4,4,1,3,69.0,56.0,61.0,66.0,68.0,320.0,1,0,15.70614339674399,0,1,1,1,3.2,3.6,1,0
160004113,2018-1,M,,12.0,N,3,8400000,P,U,N,0,0,75.0,74.0,73.0,75.0,70.0,2.0,3.0,1,0,10,10,0,3,75.0,74.0,73.0,75.0,70.0,367.0,1,0,15.943742382861155,0,2,3,1,3.4,2.9,0,1
160004114,2018-1,M,12.0,2.0,N,1,4800000,G,R,N,0,0,56.0,51.0,74.0,68.0,63.0,2.0,1.0,1,10,1,10,0,1,56.0,51.0,74.0,68.0,63.0,312.0,0,1,15.38412668421143,0,2,1,1,1.7,2.5,0,1
160004115,2018-1,M,5.0,5.0,S,2,12110000,G,U,N,0,0,65.0,71.0,72.0,62.0,70.0,2.0,1.0,1,4,4,4,1,2,65.0,71.0,72.0,62.0,70.0,340.0,0,0,16.309542198105653,0,2,1,1,1.2,1.2,0,1
160004116,2018-1,M,,,N,3,44329920,G,U,N,0,0,89.0,88.0,67.0,76.0,67.0,5.0,1.0,1,0,0,0,0,3,89.0,88.0,67.0,76.0,67.0,387.0,0,0,17.60717042463077,0,5,1,1,3.6,2.8,0,1
160004117,2018-1,M,5.0,11.0,N,1,9577600,G,U,N,0,0,66.0,66.0,70.0,64.0,60.0,1.0,2.0,1,4,9,9,0,1,66.0,66.0,70.0,64.0,60.0,326.0,0,0,16.074937701050803,0,1,2,1,3.7,3.9,1,0
