Modelo,Recall+,Prec+,F1+,F1-mac,AUC,AvgP,MCC,Acc
Árbol de Decisión,0.5142857142857142,0.5625,0.5373134328358209,0.6405575428641914,0.7423728813559323,0.6337820004578305,0.2825954511633173,0.6702127659574468
Random Forest,0.37142857142857144,0.8125,0.5098039215686274,0.6636610848719049,0.7443099273607747,0.6924886601421887,0.41237342399159604,0.7340425531914894
XGBoost,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7060662914321452,0.7583535108958837,0.6489727467228169,0.41683814066434716,0.7340425531914894
