Modelo,Recall+,Prec+,F1+,F1-mac,AUC,AvgP,MCC,Acc
Árbol de Decisión,0.7567567567567568,0.6666666666666666,0.7088607594936709,0.7382687635852192,0.7362266112266113,0.625550557617214,0.48131204519809623,0.7415730337078652
Random Forest,0.8108108108108109,0.5454545454545454,0.6521739130434783,0.6400404448938322,0.7754677754677756,0.7911723178829067,0.33477297225925495,0.6404494382022472
XGBoost,0.7027027027027027,0.6046511627906976,0.65,0.6821428571428572,0.7848232848232849,0.7735763404285263,0.3706146818267944,0.6853932584269663
